able,a ,  capable
deny,v ,  refuse to let have
rule,n ,  regulation
continental,a ,  relating to a continent
national,a ,  relating to a nation or country
presidential,a ,  relating to a president or presidency
constitutional,a ,  relating to a/the constitution
imperial,a ,  relating to an empire
cultural,a ,  relating to arts
economic,a ,  relating to economics
magnetic,a ,  relating to magnetism
moral,a ,  relating to principles of right and wrong
environmental,a ,  relating to the external surroundings
domestic,a ,  relating to the home
ratio,n ,  relative magnitude
soft,a ,  relatively low in volume
relevance,n ,  relevancy
comment,n ,  remark
commemorate,v ,  remember
shave,v ,  remove body hair
lease,n ,  rental lease
tenant,n ,  renter
meal,n ,  repast
repetition,n ,  repeat
draw,v ,  represent by making a drawing of
defend,v ,  represent in a court of law
map,n ,  representation of the earth's surface
agent,n ,  representative who acts on behalf of others
print,v ,  reproduce by printing
reptile,n ,  reptilian
order,n ,  request for food or refreshment
demand,v ,  request urgently and forcefully
need,v ,  require
manual,a ,  requiring human effort
palace,n ,  residence of a sovereign
ash,n ,  residue from a fire
opposition,n ,  resistance
immune,a ,  resistant
conservative,a ,  resistant to change
stable,a ,  resistant to change
tolerant,a ,  respecting others
pneumonia,n ,  respiratory disease
lung,n ,  respiratory organ
feedback,n ,  response
reaction,n ,  response revealing a person's feelings or attitude
fault,n ,  responsibility for a bad situation
kneel,v ,  rest one's weight on one's knees
brake,n ,  restraint used to stop a vehicle
revive,v ,  resuscitate
retailer,n ,  retail merchant
revenge,n ,  retaliation
wealth,n ,  riches
lift,n ,  ride in a car
jockey,n ,  rider
passenger,n ,  rider
wave,n ,  ridge moving across the surface of a liquid
right wing,n ,  right
entitlement,n ,  right granted by law or contract
right,n ,  right hand side
copyright,n ,  right of publication
option,n ,  right to buy or sell property
access,n ,  right to obtain or make use of
right,n ,  rightfulness
bar,n ,  rigid piece of metal or wood
fruit,n ,  ripened reproductive body of a seed plant
rear,v ,  rise up
promotion,n ,  rising in rank
inflation,n ,  rising prices
venture,n ,  risky commercial undertaking
ritual,n ,  rite
sacrifice,n ,  ritual killing
gown,n ,  robe for ceremonial occasions
marble,n ,  rock
stone,n ,  rock
rock,n ,  rock 'n' roll
staff,n ,  rod
mouse,n ,  rodent
rat,n ,  rodent
model,n ,  role model
kitchen,n ,  room equipped for preparing meals
study,n ,  room used for reading and writing and studying
suite,n ,  rooms
rotation,n ,  rotary motion
button,n ,  round fastener for clothes
hand,n ,  round of applause
loop,n ,  round or oval shape
court,n ,  royal court
brush,v ,  rub with a brush
rugby,n ,  rugby football
finished,a ,  ruined
ruin,n ,  ruined building
flow,v ,  run
country,n ,  rural area
countryside,n ,  rural regions
pitch,n ,  sales pitch
greeting,n ,  salutation
moon,n ,  satellite of the Earth
stroll,v ,  saunter
spare,v ,  save from an unpleasant experience
pray,v ,  say a prayer
dictate,v ,  say out loud for the purpose of recording
strikebreaker,n ,  scab
spray,v ,  scatter
landscape,n ,  scenery
scheme,n ,  schema organization of concepts
system,n ,  scheme
paper,n ,  scholarly article
school,n ,  schoolhouse
classroom,n ,  schoolroom
forestry,n ,  science of planting and caring for forests
science,n ,  scientific discipline
scratch,v ,  scrape
scratch,v ,  scrape or rub to relieve itching
bronze,n ,  sculpture made of bronze
gossip,n ,  scuttlebutt
harbor,n ,  seaport
look,v ,  search
chair,n ,  seat
place,n ,  seat
capital,n ,  seat of government
copy,n ,  secondary representation of an original
secretary,n ,  secretarial assistant
passage,n ,  section of text
patrol,n ,  security detachment
deposit,n ,  sediment
visible,a ,  seeable
seed,n ,  seeded player
recruit,v ,  seek to employ
quest,n ,  seeking
gene,n ,  segment of DNA
bite,v ,  seize with teeth
elect,v ,  select by in an election
pick,v ,  select carefully
cast,v ,  select for a play or movie
assertive,a ,  self-assured
paradox,n ,  self-contradiction
willpower,n ,  self-control
spontaneous,a ,  self-generated
arrogant,a ,  self-important
export,v ,  sell abroad
betray,v ,  sell out
call,v ,  send for
greet,v ,  send greetings
perceive,v ,  sense
humor,n ,  sense of humor
touch,n ,  sense of touch
ear,n ,  sense organ
reasonable,a ,  sensible
sensitivity,n ,  sensitiveness
detector,n ,  sensor
piece,n ,  separate part of a whole
distant,a ,  separated in space or time
barrier,n ,  separator obstructing vision or access
scenario,n ,  sequence of possible events
sequence,n ,  serial arrangement
action,n ,  series of events that form a plot
chain,n ,  series of rings or links
degree,n ,  seriousness of something
snake,n ,  serpent
waiter,n ,  server
established,a ,  set up or accepted
scene,n ,  setting
background,n ,  setting context
stitch,n ,  sewing
faithful,a ,  sexually trustworthy
shadow,n ,  shade
embarrassment,n ,  shame
cylinder,n ,  shape
cut,n ,  share of the profits
stock,n ,  shares
needle,n ,  sharp pointed implement
edge,n ,  sharp side formed by the intersection of two surfaces of an object
bundle,n ,  sheaf
bleed,v ,  shed blood
protect,v ,  shield from danger
connection,n ,  shifting from one transportation to another
reflect,v ,  shine
polish,v ,  shine
horseshoe,n ,  shoe for horses
beach,n ,  shore
short circuit,n ,  short
jacket,n ,  short coat
shorts,n ,  short pants
injection,n ,  shot
strap,n ,  shoulder strap
explode,v ,  show a violent emotional reaction
shrink,v ,  shrivel
shiver,v ,  shudder
close,v ,  shut
tail,n ,  side of a coin
cheek,n ,  side of the face
temple,n ,  side of the forehead
profile,n ,  side view
digress,v ,  sidetrack
pavement,n ,  sidewalk
symbol,n ,  sign
sign,n ,  signal
sign,n ,  signboard
important,a ,  significant
lover,n ,  significant other
quiet,a ,  silent
velvet,n ,  silky densely piled fabric
flatware,n ,  silverware
plain,a ,  simple
stool,n ,  simple seat
model,v ,  simulate
model,n ,  simulation
honest,a ,  sincere
unit,n ,  single undivided whole
skilled,a ,  skillful
freckle,n ,  skin pigment
nervous,a ,  skittish
horizon,n ,  skyline
killer,n ,  slayer
bedroom,n ,  sleeping room
steak,n ,  slice of meat
edge,n ,  slight competitive advantage
slippery,a ,  slippy
dip,v ,  slope downwards
bank,n ,  sloping land
slump,v ,  slouch
snail,n ,  slug
sleep,n ,  slumber
particle,n ,  small body of mass
berry,n ,  small edible fruit
seed,n ,  small hard fruit
grain,n ,  small hard particle
pony,n ,  small horse
limited,a ,  small in range or scope
cup,n ,  small open container used for drinking
sample,n ,  small part representative of the whole
scrap,n ,  small piece
slot,n ,  small slit
compartment,n ,  small space or subdivision for storage
mole,n ,  small velvety-furred burrowing mammal
cabin,n ,  small wooden house
fine,a ,  small-grained or smooth
petty,a ,  small-minded
minority,n ,  smaller in number
snow,n ,  snowfall
absorption,n ,  soaking up
serious,a ,  sober
gregarious,a ,  sociable
absorption,n ,  social assimilation
background,n ,  social heritage
ant,n ,  social insect
socialist,a ,  socialistic
civilization,n ,  society in an advanced state
fat,n ,  soft greasy substance
pudding,n ,  soft sweet dessert
worm,n ,  software program
appeal,n ,  solicitation
casualty,n ,  someone injured or killed
suspect,n ,  someone under suspicion
guide,n ,  someone who shows the way
communication,n ,  something communicated between people
wreck,n ,  something dilapidated
drift,n ,  something heaped up by wind or water
loss,n ,  something that is lost
memory,n ,  something that is remembered
prince,n ,  son of a sovereign
noise,n ,  sound
resource,n ,  source of aid or support
angle,n ,  space between two lines
bridge,n ,  span
save,v ,  spare
formation,n ,  spatial arrangement
shout,v ,  speak loudly
whisper,v ,  speak softly
privilege,n ,  special advantage
treat,n ,  special pleasurable occurrence
accent,n ,  speech pattern
trance,n ,  spell
spit,v ,  spew
sphere,n ,  sphere of influence
pepper,n ,  spice
top,n ,  spinning top
angel,n ,  spiritual being
medium,n ,  spiritualist
lost,a ,  spiritually or physically doomed or destroyed
divorce,v ,  split up
goal,n ,  sports equipment
referee,n ,  sports referee
spring,n ,  springtime
encourage,v ,  spur on
crouch,v ,  squat
crutch,n ,  staff used as walking aid
set,n ,  stage set
step,n ,  stair
staircase,n ,  stairway
post,n ,  stake
haunt,v ,  stalk
seal,n ,  stamp on a document
stand,v ,  stand up
norm,n ,  standard
representative,a ,  standing for something else
sun,n ,  star that is the source of light and heat
situation,n ,  state of affairs
safety,n ,  state of being certain that adverse effects will not be caused
presence,n ,  state of being present
relationship,n ,  state of connectedness between people
balance,n ,  state of equilibrium
state,n ,  state of matter
gas,n ,  state of matter distinguished from solid and liquid
conflict,n ,  state of opposition between persons or ideas
reliance,n ,  state of relying on something
isolation,n ,  state of separation
peace,n ,  state prevailing during the absence of war
declaration,n ,  statement
proposition,n ,  statement
formula,n ,  statement of a fundamental principle
position,n ,  status
rank,n ,  status
wait,v ,  stay in one place and anticipate something
lodge,v ,  stay temporarily
glow,n ,  steady even light
plagiarize,v ,  steal intellectual property
file,n ,  steel hand tool
ladder,n ,  steps
miscarriage,n ,  stillbirth
shareholder,n ,  stockholder
plug,v ,  stop up
shop,n ,  store
plot,n ,  story
choke,v ,  strangle
strategic,a ,  strategical
banner,n ,  streamer
concentration,n ,  strength of solution
struggle,n ,  strenuous effort
hit,v ,  strike
tap,v ,  strike lightly
kick,v ,  strike with the foot
impact,n ,  striking of one body against another
stunning,a ,  strikingly beautiful or attractive
sentence,n ,  string of words
guitar,n ,  stringed instrument
ribbon,n ,  strip of material
conviction,n ,  strong belief
concrete,n ,  strong building material
attack,n ,  strong criticism
emotion,n ,  strong feeling
vigorous,a ,  strong physically or mentally
urge,n ,  strong restless desire
cable,n ,  strong thick rope
tower,n ,  structure
nest,n ,  structure in which animals lay eggs
fight,v ,  struggle
auditor,n ,  student
senior,n ,  student
material,n ,  stuff
substance,n ,  stuff
trip,v ,  stumble
fashionable,a ,  stylish
act,n ,  subdivision of a play or opera or ballet
chapter,n ,  subdivision of a written work
scene,n ,  subdivision of an act of a play
paragraph,n ,  subdivisions of a text
soak,v ,  submerge in liquid
entry,n ,  submission
reader,n ,  subscriber
matter,n ,  substance
conductor,n ,  substance that readily transmits electricity or heat
drug,n ,  substance used as a medicine or narcotic
paint,n ,  substance used to protect or decorate
replace,v ,  substitute for a defective or inadequate one
solution,n ,  successful action of solving a problem
goal,n ,  successful attempt at scoring
brainstorm,n ,  sudden insight
inspiration,n ,  sudden intuition
kick,n ,  sudden stimulation
die,v ,  suffer death
evoke,v ,  suggest
indication,n ,  suggestion
suit,n ,  suit of clothes
proper,a ,  suitable
budget,n ,  sum of money allocated
sum,n ,  sum total
overview,n ,  summary
camp,n ,  summer camp
summer,n ,  summertime
summit,n ,  summit meeting
superintendent,n ,  super
miracle,n ,  supernatural event
dinner,n ,  supper
bag,n ,  supple container
appendix,n ,  supplementary material
attachment,n ,  supplementary part
prayer,n ,  supplication
cater,v ,  supply food ready to eat
inspire,v ,  supply the inspiration for
shelf,n ,  support for holding objects
pier,n ,  support for two adjacent bridge spans
rest,n ,  support on which things can be put
certain,a ,  sure
ceiling,n ,  surface of a room
operation,n ,  surgery
excess,n ,  surplus
resignation,n ,  surrender
deputy,n ,  surrogate
survivor,n ,  survivor of a disaster
defendant,n ,  suspect
rock,v ,  sway
date,n ,  sweet edible fruit
chocolate,n ,  sweet food
honey,n ,  sweet food
sweet,a ,  sweet-tasting
swell,v ,  swell up
door,n ,  swinging or sliding barrier
shift,n ,  switch
interactive,a ,  synergistic
calendar,n ,  system of timekeeping
research,n ,  systematic investigation to establish facts
insist,v ,  take a firm stand
inject,v ,  take by injection
adopt,v ,  take in as a child
eat,v ,  take in solid food
insure,v ,  take out insurance
participate,v ,  take part
musical,a ,  talented in or devoted to music
conversation,n ,  talk
discuss,v ,  talk over
talk,n ,  talking
tree,n ,  tall perennial woody plant
tape,n ,  tape measure
tape,n ,  tape recording
duty,n ,  tariff
assignment,n ,  task
tension,n ,  tautness
species,n ,  taxonomic group
panel,n ,  team of experts
morale,n ,  team spirit
tear,n ,  teardrop
rhetoric,n ,  technique for speaking
extension,n ,  telephone extension
lie,v ,  tell an untruth
disposition,n ,  temperament
shelter,n ,  temporary housing for homeless
pause,n ,  temporary inactivity
loan,n ,  temporary provision of money
trend,n ,  tendency
critical,a ,  tending to find errors and flaws
finger,n ,  terminal members of the hand
abortion,n ,  termination pregnancy
soil,n ,  territory
examination,n ,  test
will,n ,  testament
leash,n ,  tether
text,n ,  textual matter
grateful,a ,  thankful
history,n ,  the aggregate of past events
Mars,n ,  the red planet
front,n ,  the side that is seen or that goes first
tragedy,n ,  theatrical drama
film,n ,  thin coating
slice,n ,  thin flat piece
mist,n ,  thin fog
nail,n ,  thin pointed piece of metal
layer,n ,  thin sheet
combination,n ,  things occurring together
idea,n ,  thought
consideration,n ,  thoughtfulness
fling,v ,  throw with force or recklessness
bind,v ,  tie or secure with a rope or cable
occasion,n ,  time of a particular event
youth,n ,  time of life between childhood and maturity
reign,n ,  time of rule
season,n ,  time of year
period,n ,  time period
slot,n ,  time slot
clock,n ,  timepiece
can,n ,  tin can
tiptoe,v ,  tippytoe
tissue,n ,  tissue paper
title,n ,  title of respect
labour,n ,  toil
liberal,a ,  tolerant of change
grave,n ,  tomb
key,n ,  tonality
tone,n ,  tone of voice
knife,n ,  tool
drill,n ,  tool with a sharp point
dentist,n ,  tooth doctor
roof,n ,  top of a building
agony,n ,  torment
torture,n ,  torturing
add,v ,  total
contact,n ,  touch
ward,n ,  town district
doll,n ,  toy
kite,n ,  toy
puzzle,n ,  toy
dealer,n ,  trader
myth,n ,  traditional story
drill,n ,  training of soldiers to march
tread,v ,  trample
broadcast,n ,  transmitted message
carry,v ,  transport
haul,v ,  transport
freight,n ,  transportation
fare,n ,  transportation fee
speed,v ,  travel at an excessive or illegal velocity
drive,v ,  travel by vehicle
swim,v ,  travel through water
visit,v ,  travel to
cross,v ,  traverse
step,v ,  tread
rehabilitation,n ,  treatment of physical disabilities
bark,n ,  tree covering
log,n ,  tree trunk
jury,n ,  trial jury
trial,n ,  tribulation
triangle,n ,  trilateral
flight,n ,  trip by plane
victory,n ,  triumph
prize,n ,  trophy
difficulty,n ,  trouble
problem,n ,  trouble
company,n ,  troupe
truth,n ,  true statement
loyalty,n ,  trueness
vat,n ,  tub
pipe,n ,  tube
rotate,v ,  turn
profit,v ,  turn a profit
ivory,n ,  tusk
channel,n ,  TV channel
dozen,n ,  twelve
double,n ,  twice the quantity
spin,v ,  twist and turn so as to give an intended interpretation
pair,n ,  two people considered as a unit
bolt,n ,  type of screw that screws into a nut
tropical,a ,  typical of the tropics
color-blind,a ,  unable to distinguish colors
incredible,a ,  unbelievable
vague,a ,  undefined
spy,n ,  undercover agent
cave,n ,  underground enclosure
unlike,a ,  unequal
surprise,n ,  unexpected event
discrimination,n ,  unfair treatment
new,a ,  unfamiliar
continuous,a ,  uninterrupted
lesson,n ,  unit of instruction
word,n ,  unit of language
degree,n ,  unit of temperature
ton,n ,  unit of weight
consolidate,v ,  unite into one
joint,a ,  united or combined
quarter,n ,  United States coin worth 25 cents
obscure,a ,  unknown
single,a ,  unmarried
volunteer,n ,  unpaid worker
offensive,a ,  unpleasant or disgusting
bitch,n ,  unpleasant woman
live,a ,  unrecorded
dangerous,a ,  unsafe
invisible,a ,  unseeable
blind,a ,  unsighted
rough,a ,  unsmooth
crisis,n ,  unstable situation
wild,a ,  untamed
frozen,a ,  unthawed
premature,a ,  untimely
strange,a ,  unusual
uniform,a ,  unvarying
unaware,a ,  unwitting
folklore,n ,  unwritten literature or songs
maximum,n ,  upper limit
hilarious,a ,  uproarious
nightmare,n ,  upsetting dream
urge,v ,  urge on
demand,n ,  urgent or peremptory request
urgency,n ,  urgent situation calling for prompt action
sweep,v ,  use a broom
share,v ,  use jointly or in common
walk,v ,  use one's feet to advance
interface,n ,  user interface
mechanical,a ,  using a mechanism
useful,a ,  utile
sigh,v ,  utter a sigh
threaten,v ,  utter intentions of injury or punishment
holiday,n ,  vacation
vacuum,n ,  vacuum cleaner
valley,n ,  vale
worth,n ,  value
disappear,v ,  vanish
variable,n ,  variable quantity
broccoli,n ,  vegetable
spinach,n ,  vegetable
growth,n ,  vegetation that has grown
van,n ,  vehicle
rocket,n ,  vehicle propelled by a rocket engine
speed,n ,  velocity
embark,v ,  venture
promise,n ,  verbal commitment
application,n ,  verbal or written request for assistance or employment or admission
poem,n ,  verse form
weight,n ,  vertical force exerted by a mass
shaft,n ,  vertical passage into a mine
bottle,n ,  vessel
bowl,n ,  vessel
jar,n ,  vessel
veteran,n ,  veteran soldier
winner,n ,  victor
video,n ,  video recording
energy,n ,  vigor
active,a ,  vigorous
computer virus,n ,  virus
oil,n ,  viscous liquid
ghost,n ,  visible disembodied soul
tourist,n ,  visitor on holiday
appearance,n ,  visual aspect
critical,a ,  vital urgently needed
colorful,a ,  vivid in color
vision,n ,  vivid mental image
singer,n ,  vocalist
soprano,n ,  voice range
intention,n ,  volition
will,n ,  volition
book,n ,  volume
offer,v ,  volunteer to do
election,n ,  vote
ballot,n ,  voting document
exposure,n ,  vulnerability to the elements
bet,n ,  wager
bet,v ,  wager
waist,n ,  waistline
queue,n ,  waiting line
march,v ,  walk
stride,v ,  walk with long steps
pedestrian,n ,  walker
cane,n ,  walking stick
bird,n ,  warm-blooded egg-laying vertebrate
guard,n ,  watchman
spray,n ,  water in small drops
fog,n ,  water vapor
acid,n ,  water-soluble compound with sour taste
stream,n ,  watercourse
vessel,n ,  watercraft
method,n ,  way of doing something
lifestyle,n ,  way of living
money,n ,  wealth
capital,n ,  wealth in the form of money or property
gun,n ,  weapon
storm,n ,  weather condition
weather,n ,  weather condition
cry,v ,  weep
scale,n ,  weighing machine
benefit,n ,  welfare
valid,a ,  well grounded in logic or truth
familiar,a ,  well known
clear,a ,  well-defined
welfare,n ,  wellbeing
wagon,n ,  wheeled vehicle
linen,n ,  white goods
pigeon,n ,  wild and domesticated bird
winter,n ,  wintertime
retirement,n ,  withdrawal from a position
fade,v ,  wither
black,a ,  without cream or sugar
direct,a ,  without deviation or interruption
cold,a ,  without human warmth or emotion
express,a ,  without unnecessary stops
feminine,a ,  womanly
feminist,n ,  women's rightist
cross,n ,  wooden structure
sheep,n ,  woolly mammal
term,n ,  word or expression
shift,n ,  work shift
strike,n ,  work stoppage
duty,n ,  work that you are obliged to perform
bench,n ,  workbench
employee,n ,  worker
job,n ,  workplace
work,n ,  workplace
studio,n ,  workplace for teaching or practice of an art
shop,n ,  workshop
trouble,n ,  worry
decline,v ,  worsen
respectable,a ,  worthy of respect
spell,v ,  write
compose,v ,  write music
pen,n ,  writing implement
pencil,n ,  writing implement
script,n ,  writing system
book,n ,  written work
offender,n ,  wrongdoer
annual,a ,  yearly
old age,n ,  years
amber,a ,  yellowish
offspring,n ,  young
calf,n ,  young cattle
kid,n ,  young goat
youth,n ,  young people
lamb,n ,  young sheep
junior,a ,  younger or lower in rank
young,a ,  youthful
